Scientific.name,Common.name,Iconic.taxon.name,Taxon #,Place.guess,Latitude,Longitude
Udea rubigalis,Celery Leaftier Moth,Insecta,143615,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Desmia maculalis,Grape Leafroller Moth,Insecta,143475,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Crambus albellus,Small White Grass-veneer,Insecta,217673,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Chrysoteuchia topiarius,Topiary Grass-veneer,Insecta,321779,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Hypsopygia olinalis,Yellow-fringed Dolichomia Moth,Insecta,343393,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Pococera asperatella,Maple Webworm Moth,Insecta,321469,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Oneida lunulalis,Orange-tufted Oneida Moth,Insecta,226422,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Acrobasis indigenella,Leaf Crumpler Moth,Insecta,212378,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Macaria notata,Birch Angle,Insecta,224258,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Digrammia continuata,Curve-lined Angle,Insecta,218436,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Protoboarmia porcelaria,Porcelain Gray,Insecta,143867,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Biston betularia,Peppered Moth,Insecta,143517,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Campaea perlata,Pale Beauty,Insecta,81681,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Cepphis armataria,Scallop Moth,Insecta,216383,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Caripeta divisata,Gray Spruce Looper Moth,Insecta,205213,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Idaea dimidiata,Single-dotted Wave,Insecta,205231,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Pleuroprucha insulsaria,Common Tan Wave,Insecta,143105,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Cyclophora pendulinaria,Sweetfern Geometer Moth,Insecta,217970,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Scopula limboundata,Large Lace-border,Insecta,81680,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Scopula limboundata,Large Lace-border,Insecta,81680,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Dysstroma hersiliata,Orange-barred Carpet Moth,Insecta,218840,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Eulithis propulsata,Currant Eulithis Moth,Insecta,219749,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Eulithis explanata,White Eulithis Moth,Insecta,219746,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Eulithis explanata,White Eulithis Moth,Insecta,219746,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Perizoma alchemillata,Small Rivulet,Insecta,201403,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Xanthorhoe abrasaria,,Insecta,233736,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Hydrelia condensata,,Insecta,205229,"Winter Harbor, ME, USA",44.33547417,-68.06086063
